Age_range,Gender,Value
 0-4,Male,883196
 5-9,Male,1161247
 10-14,Male,1168937
 15-19,Male,1271404
 20-24,Male,1762735
 25-29,Male,1959723
 30-34,Male,1742483
 35-39,Male,1970249
 40-44,Male,1997630
 45-49,Male,2196042
 50-54,Male,2195060
 55-59,Male,2109380
 60-64,Male,1912792
 65-69,Male,1314575
 70-74,Male,946539
 75-79,Male,684291
 80-84,Male,419037
 85-89,Male,168643
 90-94,Male,42915
 95-99,Male,8024
 100+,Male,869
 0-4,Female,838885
 5-9,Female,1103348
 10-14,Female,1098544
 15-19,Female,1178157
 20-24,Female,1602669
 25-29,Female,1706489
 30-34,Female,1558848
 35-39,Female,1835221
 40-44,Female,1909035
 45-49,Female,2129655
 50-54,Female,2176994
 55-59,Female,2101265
 60-64,Female,1972505
 65-69,Female,1419612
 70-74,Female,1081140
 75-79,Female,916576
 80-84,Female,701744
 85-89,Female,395287
 90-94,Female,149712
 95-99,Female,33488
 100+,Female,4755
